Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sampleTestsuiteTest,Chrome 139.0.7258.128,,,21-08-2025 10:57:51,21-08-2025 10:59:49,1m - 57.990s,PASSED
,,,,,,,
Test Cases/WebUIcomponents/Alert,Chrome 139.0.7258.128,,,21-08-2025 10:57:52,21-08-2025 10:58:12,20.481s,PASSED
"openBrowser(""https://letcode.in/test"")",Chrome 139.0.7258.128,,,21-08-2025 10:57:52,21-08-2025 10:58:01,8.339s,PASSED
"click(findTestObject(""Alertobjects/Page_Workspace  LetCode with Koushik/Alert_button""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:01,21-08-2025 10:58:07,6.225s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/SimpleAlertbtn""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:07,21-08-2025 10:58:08,1.165s,PASSED
acceptAlert(),Chrome 139.0.7258.128,,,21-08-2025 10:58:08,21-08-2025 10:58:08,0.267s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/Confirmalertbtn""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:08,21-08-2025 10:58:09,0.923s,PASSED
dismissAlert(),Chrome 139.0.7258.128,,,21-08-2025 10:58:09,21-08-2025 10:58:10,0.181s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/promptalertbtn""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:10,21-08-2025 10:58:10,0.579s,PASSED
"setAlertText(""test"")",Chrome 139.0.7258.128,,,21-08-2025 10:58:10,21-08-2025 10:58:10,0.112s,PASSED
acceptAlert(),Chrome 139.0.7258.128,,,21-08-2025 10:58:10,21-08-2025 10:58:10,0.094s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/moderalertbtn""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:10,21-08-2025 10:58:11,0.630s,PASSED
"click(findTestObject(""Alertobjects/Page_Workspace  LetCode with Koushik/Page_Alert  LetCode with Koushik/button_Modern Alert_modal-close is-large""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:11,21-08-2025 10:58:12,0.521s,PASSED
closeBrowser(),Chrome 139.0.7258.128,,,21-08-2025 10:58:12,21-08-2025 10:58:12,0.766s,PASSED
,,,,,,,
Test Cases/WebUIcomponents/FileDownload,Chrome 139.0.7258.128,,,21-08-2025 10:58:12,21-08-2025 10:58:34,21.351s,PASSED
"openBrowser(""https://letcode.in/test"")",Chrome 139.0.7258.128,,,21-08-2025 10:58:13,21-08-2025 10:58:18,4.952s,PASSED
maximizeWindow(),Chrome 139.0.7258.128,,,21-08-2025 10:58:18,21-08-2025 10:58:18,0.312s,PASSED
"click(findTestObject(""Uploadfile/Page_Workspace  LetCode with Koushik/Fileuploadmenu""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:18,21-08-2025 10:58:22,3.421s,PASSED
"click(findTestObject(""Download/Page_File Upload  LetCode with Koushik/Downloadpdf""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:22,21-08-2025 10:58:23,1.056s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 139.0.7258.128,,,21-08-2025 10:58:23,21-08-2025 10:58:33,10.089s,PASSED
downloadFolder = new java.io.File(C:\Users\Harish M\Downloads),Chrome 139.0.7258.128,,,21-08-2025 10:58:33,21-08-2025 10:58:33,0.004s,PASSED
println(downloadFolder),Chrome 139.0.7258.128,,,21-08-2025 10:58:33,21-08-2025 10:58:33,0.012s,PASSED
nameOffiles = Arrays.asList(downloadFolder.list()),Chrome 139.0.7258.128,,,21-08-2025 10:58:33,21-08-2025 10:58:33,0.038s,PASSED
println(nameOffiles),Chrome 139.0.7258.128,,,21-08-2025 10:58:33,21-08-2025 10:58:33,0.018s,PASSED
"if (nameOffiles.contains(""sample.pdf""))",Chrome 139.0.7258.128,,,21-08-2025 10:58:33,21-08-2025 10:58:33,0.036s,PASSED
