Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"dragAndDropToObject(findTestObject(""Object Repository/DragandDrop/Page_Droppable  jQuery UI/Source""), findTestObject(""Object Repository/DragandDrop/Page_Droppable  jQuery UI/destination""))",Chrome 139.0.7258.128,,,22-08-2025 11:26:01,22-08-2025 11:26:03,1.759s,PASSED
"text = getText(findTestObject(""Object Repository/DragandDrop/Page_Droppable  jQuery UI/destination""))",Chrome 139.0.7258.128,,,22-08-2025 11:26:03,22-08-2025 11:26:03,0.331s,PASSED
"verifyEqual(text, ""Dropped!"")",Chrome 139.0.7258.128,,,22-08-2025 11:26:03,22-08-2025 11:26:03,0.007s,PASSED
closeBrowser(),Chrome 139.0.7258.128,,,22-08-2025 11:26:03,22-08-2025 11:26:03,0.279s,PASSED
,,,,,,,
Test Cases/WebUIcomponents/SelectDropdown,Chrome 139.0.7258.128,,,22-08-2025 11:26:03,22-08-2025 11:26:57,53.797s,PASSED
"openBrowser(""https://letcode.in/test"")",Chrome 139.0.7258.128,,,22-08-2025 11:26:04,22-08-2025 11:26:07,3.905s,PASSED
maximizeWindow(),Chrome 139.0.7258.128,,,22-08-2025 11:26:07,22-08-2025 11:26:08,0.348s,PASSED
"click(findTestObject(""SelectDropdown/Page_Workspace  LetCode with Koushik/select""))",Chrome 139.0.7258.128,,,22-08-2025 11:26:08,22-08-2025 11:26:10,2.381s,PASSED
"selectOptionByIndex(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/CountryDropdown""), 2)",Chrome 139.0.7258.128,,,22-08-2025 11:26:10,22-08-2025 11:26:12,1.677s,PASSED
"verifyOptionSelectedByIndex(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/CountryDropdown""), 2, 0)",Chrome 139.0.7258.128,,,22-08-2025 11:26:12,22-08-2025 11:26:13,1.184s,PASSED
"selectOptionByValue(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/programming language""), ""py"", false)",Chrome 139.0.7258.128,,,22-08-2025 11:26:13,22-08-2025 11:26:14,0.724s,PASSED
"verifyOptionSelectedByValue(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/programming language""), ""py"", false, 0)",Chrome 139.0.7258.128,,,22-08-2025 11:26:14,22-08-2025 11:26:15,1.398s,PASSED
"selectOptionByLabel(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/programming language""), ""Swift"", false)",Chrome 139.0.7258.128,,,22-08-2025 11:26:15,22-08-2025 11:26:16,0.703s,PASSED
"verifyOptionSelectedByLabel(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/programming language""), ""Swift"", false, 0)",Chrome 139.0.7258.128,,,22-08-2025 11:26:16,22-08-2025 11:26:17,1.253s,PASSED
"waitForElementPresent(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/Multioption""), 2)",Chrome 139.0.7258.128,,,22-08-2025 11:26:17,22-08-2025 11:26:17,0.283s,PASSED
"selectAllOption(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/Multioption""))",Chrome 139.0.7258.128,,,22-08-2025 11:26:17,22-08-2025 11:26:37,19.432s,PASSED
"deselectAllOption(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/Multioption""))",Chrome 139.0.7258.128,,,22-08-2025 11:26:37,22-08-2025 11:26:55,18.479s,PASSED
"selectOptionByIndex(findTestObject(""SelectDropdown/Page_Dropdowns  LetCode with Koushik/Multioption""), ""2-4"")",Chrome 139.0.7258.128,,,22-08-2025 11:26:55,22-08-2025 11:26:57,1.466s,PASSED
closeBrowser(),Chrome 139.0.7258.128,,,22-08-2025 11:26:57,22-08-2025 11:26:57,0.378s,PASSED
