Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sampleTestsuiteTest,Chrome 139.0.7258.128,,,22-08-2025 11:25:20,22-08-2025 11:26:57,1m - 37.239s,PASSED
,,,,,,,
Test Cases/WebUIcomponents/Alert,Chrome 139.0.7258.128,,,22-08-2025 11:25:21,22-08-2025 11:25:37,15.890s,PASSED
"openBrowser(""https://letcode.in/test"")",Chrome 139.0.7258.128,,,22-08-2025 11:25:22,22-08-2025 11:25:32,9.881s,PASSED
"click(findTestObject(""Alertobjects/Page_Workspace  LetCode with Koushik/Alert_button""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:32,22-08-2025 11:25:33,1.260s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/SimpleAlertbtn""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:33,22-08-2025 11:25:35,1.464s,PASSED
acceptAlert(),Chrome 139.0.7258.128,,,22-08-2025 11:25:35,22-08-2025 11:25:35,0.137s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/Confirmalertbtn""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:35,22-08-2025 11:25:35,0.442s,PASSED
dismissAlert(),Chrome 139.0.7258.128,,,22-08-2025 11:25:35,22-08-2025 11:25:35,0.071s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/promptalertbtn""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:35,22-08-2025 11:25:36,0.463s,PASSED
"setAlertText(""test"")",Chrome 139.0.7258.128,,,22-08-2025 11:25:36,22-08-2025 11:25:36,0.063s,PASSED
acceptAlert(),Chrome 139.0.7258.128,,,22-08-2025 11:25:36,22-08-2025 11:25:36,0.069s,PASSED
"click(findTestObject(""Alertobjects/Page_Alert  LetCode with Koushik/moderalertbtn""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:36,22-08-2025 11:25:36,0.513s,PASSED
"click(findTestObject(""Alertobjects/Page_Workspace  LetCode with Koushik/Page_Alert  LetCode with Koushik/button_Modern Alert_modal-close is-large""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:36,22-08-2025 11:25:37,0.380s,PASSED
closeBrowser(),Chrome 139.0.7258.128,,,22-08-2025 11:25:37,22-08-2025 11:25:37,0.449s,PASSED
,,,,,,,
Test Cases/WebUIcomponents/FileDownload,Chrome 139.0.7258.128,,,22-08-2025 11:25:37,22-08-2025 11:25:57,20.202s,PASSED
"openBrowser(""https://letcode.in/test"")",Chrome 139.0.7258.128,,,22-08-2025 11:25:37,22-08-2025 11:25:41,3.440s,PASSED
maximizeWindow(),Chrome 139.0.7258.128,,,22-08-2025 11:25:41,22-08-2025 11:25:41,0.188s,PASSED
"click(findTestObject(""Uploadfile/Page_Workspace  LetCode with Koushik/Fileuploadmenu""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:41,22-08-2025 11:25:45,3.536s,PASSED
"click(findTestObject(""Download/Page_File Upload  LetCode with Koushik/Downloadpdf""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:45,22-08-2025 11:25:46,1.778s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 139.0.7258.128,,,22-08-2025 11:25:46,22-08-2025 11:25:57,10.223s,PASSED
downloadFolder = new java.io.File(C:\Users\Harish M\Downloads),Chrome 139.0.7258.128,,,22-08-2025 11:25:57,22-08-2025 11:25:57,0.014s,PASSED
println(downloadFolder),Chrome 139.0.7258.128,,,22-08-2025 11:25:57,22-08-2025 11:25:57,0.025s,PASSED
nameOffiles = Arrays.asList(downloadFolder.list()),Chrome 139.0.7258.128,,,22-08-2025 11:25:57,22-08-2025 11:25:57,0.036s,PASSED
println(nameOffiles),Chrome 139.0.7258.128,,,22-08-2025 11:25:57,22-08-2025 11:25:57,0.006s,PASSED
"if (nameOffiles.contains(""sample.pdf""))",Chrome 139.0.7258.128,,,22-08-2025 11:25:57,22-08-2025 11:25:57,0.053s,PASSED
closeBrowser(),Chrome 139.0.7258.128,,,22-08-2025 11:25:57,22-08-2025 11:25:57,0.571s,PASSED
,,,,,,,
Test Cases/WebUIcomponents/DragandDragcomponents,Chrome 139.0.7258.128,,,22-08-2025 11:25:57,22-08-2025 11:26:03,6.037s,PASSED
"openBrowser(""https://jqueryui.com/droppable/"")",Chrome 139.0.7258.128,,,22-08-2025 11:25:58,22-08-2025 11:26:01,3.491s,PASSED
